trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	20    	1   	ASHES     	lure    	0.343	NR  	1   	NR      	NR      
2   	20.4  	2   	FRONTIER  	lure    	0.405	NR  	1   	NR      	NR      
3   	20.9  	3   	BRAKE     	lure    	0.449	NR  	1   	NR      	NR      
4   	21.4  	1   	ASHES (repeat 1)	lure    	0.618	NR  	1   	NR      	NR      
5   	22.1  	4   	STAPLE    	lure    	0.527	NR  	1   	NR      	NR      
6   	22.7  	5   	PILE      	lure    	0.335	NR  	1   	NR      	NR      
7   	23.1  	6   	ANCHOR    	lure    	0.474	NR  	1   	NR      	NR      
8   	23.6  	3   	BRAKE (repeat 1)	lure    	0.256	NR  	1   	NR      	NR      
9   	23.9  	4   	STAPLE (repeat 1)	lure    	0.568	NR  	1   	NR      	NR      
10  	24.5  	2   	FRONTIER (repeat 1)	lure    	0.519	NR  	1   	NR      	NR      
11  	25.1  	1   	ASHES (repeat 2)	lure    	0.673	NR  	1   	NR      	NR      
12  	25.8  	6   	ANCHOR (repeat 1)	lure    	0.602	NR  	1   	NR      	NR      
13  	26.5  	4   	STAPLE (repeat 2)	lure    	0.29	NR  	1   	NR      	NR      
14  	26.9  	7   	SACK      	lure    	0.451	NR  	1   	NR      	NR      
15  	27.4  	5   	PILE (repeat 1)	lure    	0.538	NR  	1   	NR      	NR      
16  	28    	4   	STAPLE (repeat 3)	lure    	0.451	NR  	1   	NR      	NR      
17  	28.5  	8   	WATERMELON	fruit   	0.953	0.625	1   	target  	target  
18  	29.5  	4   	STAPLE (repeat 4)	lure    	0.682	NR  	1   	NR      	NR      
19  	30.2  	7   	SACK (repeat 1)	lure    	0.526	NR  	1   	NR      	NR      
20  	30.8  	5   	PILE (repeat 2)	lure    	0.64	NR  	1   	NR      	NR      
21  	31.5  	2   	FRONTIER (repeat 2)	lure    	0.535	NR  	1   	NR      	NR      
22  	32.1  	3   	BRAKE (repeat 2)	lure    	0.554	NR  	1   	NR      	NR      
23  	32.7  	6   	ANCHOR (repeat 2)	lure    	0.28	NR  	1   	NR      	NR      
24  	33    	1   	ASHES (repeat 3)	lure    	0.261	NR  	1   	NR      	NR      
25  	33.4  	7   	SACK (repeat 2)	lure    	0.457	NR  	1   	NR      	NR      
26  	33.9  	6   	ANCHOR (repeat 3)	lure    	0.567	NR  	1   	NR      	NR      
27  	34.5  	5   	PILE (repeat 3)	lure    	0.371	NR  	1   	NR      	NR      
28  	34.9  	1   	ASHES (repeat 4)	lure    	0.474	NR  	1   	NR      	NR      
29  	35.5  	2   	FRONTIER (repeat 3)	lure    	0.546	NR  	1   	NR      	NR      
30  	36.1  	7   	SACK (repeat 3)	lure    	0.537	NR  	1   	NR      	NR      
31  	36.7  	1   	ASHES (repeat 5)	lure    	0.439	NR  	1   	NR      	NR      
