trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	12.2  	1   	HOOD      	lure    	0.402	NR  	1   	NR      	NR      
2   	12.7  	2   	VAULT     	lure    	0.29	NR  	1   	NR      	NR      
3   	13    	3   	PAPER     	lure    	0.49	NR  	1   	NR      	NR      
4   	13.6  	4   	JAIL      	lure    	0.316	NR  	1   	NR      	NR      
5   	13.9  	2   	VAULT (repeat 1)	lure    	0.255	NR  	1   	NR      	NR      
6   	14.3  	4   	JAIL (repeat 1)	lure    	0.459	NR  	1   	NR      	NR      
7   	14.8  	5   	MATCH     	lure    	0.616	NR  	1   	NR      	NR      
8   	15.4  	2   	VAULT (repeat 2)	lure    	0.622	NR  	1   	NR      	NR      
9   	16.1  	6   	ISSUE     	lure    	0.373	NR  	1   	NR      	NR      
10  	16.6  	5   	MATCH (repeat 1)	lure    	0.666	NR  	1   	NR      	NR      
11  	17.3  	2   	VAULT (repeat 3)	lure    	0.27	NR  	1   	NR      	NR      
12  	17.6  	5   	MATCH (repeat 2)	lure    	0.618	NR  	1   	NR      	NR      
13  	18.3  	4   	JAIL (repeat 2)	lure    	0.451	NR  	1   	NR      	NR      
14  	18.8  	5   	MATCH (repeat 3)	lure    	0.364	NR  	1   	NR      	NR      
15  	19.2  	3   	PAPER (repeat 1)	lure    	0.451	NR  	1   	NR      	NR      
16  	19.7  	2   	VAULT (repeat 4)	lure    	0.349	NR  	1   	NR      	NR      
17  	20.1  	4   	JAIL (repeat 3)	lure    	0.451	NR  	1   	NR      	NR      
18  	20.6  	7   	WATERMELON	fruit   	0.953	0.457	1   	target  	target  
19  	21.6  	2   	VAULT (repeat 5)	lure    	0.463	NR  	1   	NR      	NR      
20  	22.1  	8   	BLIZZARD  	lure    	0.568	NR  	1   	NR      	NR      
21  	22.7  	6   	ISSUE (repeat 1)	lure    	0.335	NR  	1   	NR      	NR      
22  	23.1  	3   	PAPER (repeat 2)	lure    	0.465	NR  	1   	NR      	NR      
23  	23.7  	5   	MATCH (repeat 4)	lure    	0.667	NR  	1   	NR      	NR      
24  	24.4  	2   	VAULT (repeat 6)	lure    	0.405	NR  	1   	NR      	NR      
25  	24.8  	8   	BLIZZARD (repeat 1)	lure    	0.586	NR  	1   	NR      	NR      
26  	25.5  	1   	HOOD (repeat 1)	lure    	0.432	NR  	1   	NR      	NR      
27  	26    	6   	ISSUE (repeat 2)	lure    	0.557	NR  	1   	NR      	NR      
28  	26.6  	2   	VAULT (repeat 7)	lure    	0.614	NR  	1   	NR      	NR      
29  	27.3  	4   	JAIL (repeat 4)	lure    	0.43	NR  	1   	NR      	NR      
30  	27.8  	3   	PAPER (repeat 3)	lure    	0.324	NR  	1   	NR      	NR      
31  	28.1  	5   	MATCH (repeat 5)	lure    	0.394	NR  	1   	NR      	NR      
32  	28.6  	1   	HOOD (repeat 2)	lure    	0.595	NR  	1   	NR      	NR      
33  	29.2  	6   	ISSUE (repeat 3)	lure    	0.492	NR  	1   	NR      	NR      
