trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	34.4  	1   	7  +  8   	---     	1.851	NR  	0   	NR      	odd     
2   	36.4  	2   	8  +  3   	---     	1.851	NR  	0   	NR      	odd     
3   	38.4  	1   	7  +  8 (repeat 1)	---     	1.851	NR  	0   	NR      	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	74.3  	1   	9  +  5   	---     	1.851	NR  	0   	NR      	even    
2   	76.3  	2   	7  +  7   	---     	1.851	NR  	0   	NR      	even    
3   	78.4  	3   	5  +  8   	---     	1.851	NR  	0   	NR      	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	114.3 	1   	7  +  9   	---     	1.851	NR  	0   	NR      	even    
2   	116.4 	2   	9  +  6   	---     	1.851	NR  	0   	NR      	odd     
3   	118.4 	3   	8  +  8   	---     	1.851	NR  	0   	NR      	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	154.3 	1   	3  +  9   	---     	1.851	NR  	0   	NR      	even    
2   	156.3 	2   	6  +  6   	---     	1.851	NR  	0   	NR      	even    
3   	158.3 	3   	9  +  2   	---     	1.851	NR  	0   	NR      	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	194.3 	1   	9  +  7   	---     	1.851	NR  	0   	NR      	even    
2   	196.4 	2   	7  +  4   	---     	1.851	NR  	0   	NR      	odd     
3   	198.4 	3   	8  +  9   	---     	1.851	NR  	0   	NR      	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	234.3 	1   	9  +  4   	---     	1.851	NR  	0   	NR      	odd     
2   	236.3 	2   	9  +  3   	---     	1.851	NR  	0   	NR      	even    
3   	238.4 	3   	9  +  6   	---     	1.851	NR  	0   	NR      	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	274.3 	1   	8  +  3   	---     	1.852	NR  	0   	NR      	odd     
2   	276.3 	2   	6  +  7   	---     	1.851	NR  	0   	NR      	odd     
3   	278.4 	3   	2  +  9   	---     	1.851	NR  	0   	NR      	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	314.3 	1   	5  +  9   	---     	1.851	NR  	0   	NR      	even    
2   	316.3 	2   	6  +  9   	---     	1.851	NR  	0   	NR      	odd     
3   	318.4 	2   	6  +  9 (repeat 1)	---     	1.851	NR  	0   	NR      	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	354.3 	1   	9  +  7   	---     	1.851	NR  	0   	NR      	even    
2   	356.4 	2   	5  +  9   	---     	1.851	NR  	0   	NR      	even    
3   	358.4 	3   	8  +  8   	---     	1.851	NR  	0   	NR      	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	394.3 	1   	9  +  9   	---     	1.851	NR  	0   	NR      	even    
2   	396.3 	2   	8  +  8   	---     	1.851	NR  	0   	NR      	even    
3   	398.4 	3   	9  +  5   	---     	1.851	NR  	0   	NR      	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	434.3 	1   	7  +  6   	---     	1.851	NR  	0   	NR      	odd     
2   	436.3 	2   	8  +  3   	---     	1.851	NR  	0   	NR      	odd     
3   	438.3 	3   	4  +  9   	---     	1.852	NR  	0   	NR      	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	474.3 	1   	9  +  2   	---     	1.851	NR  	0   	NR      	odd     
2   	476.3 	2   	9  +  3   	---     	1.851	NR  	0   	NR      	even    
3   	478.4 	3   	3  +  9   	---     	1.851	NR  	0   	NR      	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	514.3 	1   	8  +  7   	---     	1.851	NR  	0   	NR      	odd     
2   	516.3 	2   	3  +  8   	---     	1.851	NR  	0   	NR      	odd     
3   	518.3 	3   	7  +  9   	---     	1.852	NR  	0   	NR      	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	554.3 	1   	6  +  9   	---     	1.855	0.623	1   	odd     	odd     
2   	556.3 	2   	9  +  3   	---     	1.853	1.506	0   	odd     	even    
3   	558.3 	3   	2  +  9   	---     	1.851	NR  	0   	NR      	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	594.3 	1   	9  +  7   	---     	1.851	NR  	0   	NR      	even    
2   	596.3 	2   	5  +  7   	---     	1.851	NR  	0   	NR      	even    
