trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	45.2  	1   	PAINT     	lure    	0.531	NR  	1   	NR      	NR      
2   	45.8  	2   	SPONGE    	lure    	0.409	NR  	1   	NR      	NR      
3   	46.3  	3   	CONTRACT  	lure    	0.573	NR  	1   	NR      	NR      
4   	46.9  	1   	PAINT (repeat 1)	lure    	0.52	NR  	1   	NR      	NR      
5   	47.5  	3   	CONTRACT (repeat 1)	lure    	0.433	NR  	1   	NR      	NR      
6   	48    	4   	CHASM     	lure    	0.405	NR  	1   	NR      	NR      
7   	48.5  	3   	CONTRACT (repeat 2)	lure    	0.677	NR  	1   	NR      	NR      
8   	49.2  	1   	PAINT (repeat 2)	lure    	0.411	NR  	1   	NR      	NR      
9   	49.7  	5   	EARTHQUAKE	lure    	0.377	NR  	1   	NR      	NR      
10  	50.1  	3   	CONTRACT (repeat 3)	lure    	0.346	NR  	1   	NR      	NR      
11  	50.5  	2   	SPONGE (repeat 1)	lure    	0.305	NR  	1   	NR      	NR      
12  	50.9  	5   	EARTHQUAKE (repeat 1)	lure    	0.616	NR  	1   	NR      	NR      
13  	51.5  	4   	CHASM (repeat 1)	lure    	0.509	NR  	1   	NR      	NR      
14  	52.1  	6   	ENGINE    	lure    	0.451	NR  	1   	NR      	NR      
15  	52.6  	7   	CRANBERRY 	fruit   	0.955	0.484	1   	target  	target  
16  	53.6  	6   	ENGINE (repeat 1)	lure    	0.273	NR  	1   	NR      	NR      
17  	53.9  	8   	PLANET    	lure    	0.623	NR  	1   	NR      	NR      
18  	54.6  	2   	SPONGE (repeat 2)	lure    	0.583	NR  	1   	NR      	NR      
19  	55.3  	1   	PAINT (repeat 3)	lure    	0.315	NR  	1   	NR      	NR      
20  	55.6  	2   	SPONGE (repeat 3)	lure    	0.452	NR  	1   	NR      	NR      
21  	56.1  	6   	ENGINE (repeat 2)	lure    	0.378	NR  	1   	NR      	NR      
22  	56.6  	3   	CONTRACT (repeat 4)	lure    	0.551	NR  	1   	NR      	NR      
23  	57.2  	6   	ENGINE (repeat 3)	lure    	0.475	NR  	1   	NR      	NR      
24  	57.7  	3   	CONTRACT (repeat 5)	lure    	0.45	NR  	1   	NR      	NR      
25  	58.2  	6   	ENGINE (repeat 4)	lure    	0.258	NR  	1   	NR      	NR      
26  	58.5  	1   	PAINT (repeat 4)	lure    	0.494	NR  	1   	NR      	NR      
27  	59.1  	2   	SPONGE (repeat 4)	lure    	0.638	NR  	1   	NR      	NR      
28  	59.8  	6   	ENGINE (repeat 5)	lure    	0.3 	NR  	1   	NR      	NR      
29  	60.1  	3   	CONTRACT (repeat 6)	lure    	0.66	NR  	1   	NR      	NR      
30  	60.8  	6   	ENGINE (repeat 6)	lure    	0.383	NR  	1   	NR      	NR      
31  	61.3  	2   	SPONGE (repeat 5)	lure    	0.594	NR  	1   	NR      	NR      
32  	61.9  	1   	PAINT (repeat 5)	lure    	0.395	NR  	1   	NR      	NR      
33  	62.4  	5   	EARTHQUAKE (repeat 2)	lure    	0.278	NR  	1   	NR      	NR      
34  	62.7  	6   	ENGINE (repeat 7)	lure    	0.561	NR  	1   	NR      	NR      
35  	63.3  	4   	CHASM (repeat 2)	lure    	0.548	NR  	1   	NR      	NR      
36  	63.9  	6   	ENGINE (repeat 8)	lure    	0.451	NR  	1   	NR      	NR      
37  	64.4  	3   	CONTRACT (repeat 7)	lure    	0.319	NR  	1   	NR      	NR      
38  	64.8  	5   	EARTHQUAKE (repeat 3)	lure    	0.451	NR  	1   	NR      	NR      
39  	65.3  	6   	ENGINE (repeat 9)	lure    	0.523	NR  	1   	NR      	NR      
40  	65.9  	4   	CHASM (repeat 3)	lure    	0.451	NR  	1   	NR      	NR      
41  	66.4  	5   	EARTHQUAKE (repeat 4)	lure    	0.547	NR  	1   	NR      	NR      
42  	67    	6   	ENGINE (repeat 10)	lure    	0.451	NR  	1   	NR      	NR      
43  	67.5  	8   	PLANET (repeat 1)	lure    	0.286	NR  	1   	NR      	NR      
44  	67.9  	3   	CONTRACT (repeat 8)	lure    	0.451	NR  	1   	NR      	NR      
45  	68.4  	9   	PEAR      	fruit   	0.952	0.553	1   	target  	target  
46  	69.4  	6   	ENGINE (repeat 11)	lure    	0.563	NR  	1   	NR      	NR      
47  	70    	1   	PAINT (repeat 6)	lure    	0.664	NR  	1   	NR      	NR      
48  	70.7  	6   	ENGINE (repeat 12)	lure    	0.275	NR  	1   	NR      	NR      
49  	71    	2   	SPONGE (repeat 6)	lure    	0.333	NR  	1   	NR      	NR      
50  	71.4  	4   	CHASM (repeat 4)	lure    	0.65	NR  	1   	NR      	NR      
51  	72.1  	8   	PLANET (repeat 2)	lure    	0.457	NR  	1   	NR      	NR      
52  	72.6  	2   	SPONGE (repeat 7)	lure    	0.485	NR  	1   	NR      	NR      
53  	73.2  	6   	ENGINE (repeat 13)	lure    	0.262	NR  	1   	NR      	NR      
54  	73.5  	2   	SPONGE (repeat 8)	lure    	0.413	NR  	1   	NR      	NR      
55  	73.9  	8   	PLANET (repeat 3)	lure    	0.262	NR  	1   	NR      	NR      
56  	74.3  	1   	PAINT (repeat 7)	lure    	0.605	NR  	1   	NR      	NR      
57  	74.9  	4   	CHASM (repeat 5)	lure    	0.503	NR  	1   	NR      	NR      
58  	75.5  	8   	PLANET (repeat 4)	lure    	0.253	NR  	1   	NR      	NR      
59  	75.8  	5   	EARTHQUAKE (repeat 5)	lure    	0.568	NR  	1   	NR      	NR      
60  	76.4  	6   	ENGINE (repeat 14)	lure    	0.494	NR  	1   	NR      	NR      
