trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	38.1  	1   	6  +  6\n\n	---     	1.855	1.28	1   	even    	even    
2   	40.1  	2   	5  +  8\n\n	---     	1.855	1.157	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	80.1  	1   	7  +  4\n\n	---     	1.856	1.718	0   	even    	odd     
2   	82.1  	1   	7  +  4\n\n (repeat 1)	---     	1.855	1.148	0   	even    	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	122.1 	1   	5  +  8\n\n	---     	1.855	1.628	0   	even    	odd     
2   	124.1 	2   	3  +  8\n\n	---     	1.855	1.371	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	164.1 	1   	9  +  9\n\n	---     	1.855	1.354	1   	even    	even    
2   	166.1 	2   	8  +  7\n\n	---     	1.855	1.232	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	206.1 	1   	9  +  7\n\n	---     	1.854	1.647	0   	odd     	even    
2   	208.1 	2   	3  +  8\n\n	---     	1.852	1.789	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	288.2 	1   	7  +  9\n\n	---     	1.851	NR  	0   	NR      	even    
2   	290.2 	2   	7  +  4\n\n	---     	1.851	1.653	0   	even    	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	330.2 	1   	9  +  9\n\n	---     	1.855	1.284	1   	even    	even    
2   	332.2 	2   	9  +  2\n\n	---     	1.855	1.323	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	372.2 	1   	9  +  6\n\n	---     	1.851	NR  	0   	NR      	odd     
2   	374.2 	2   	5  +  9\n\n	---     	1.855	0.023	0   	odd     	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	414.2 	1   	5  +  6\n\n	---     	1.855	1.327	1   	odd     	odd     
2   	416.2 	2   	6  +  5\n\n	---     	1.855	0.782	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	456.2 	1   	7  +  4\n\n	---     	1.853	1.477	0   	even    	odd     
