trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	12    	1   	BASKET    	lure    	0.414	NR  	1   	NR      	NR      
2   	12.5  	2   	PURSE     	lure    	0.559	NR  	1   	NR      	NR      
3   	13.1  	3   	MAGNET    	lure    	0.503	NR  	1   	NR      	NR      
4   	13.6  	4   	EARTHQUAKE	lure    	0.422	NR  	1   	NR      	NR      
5   	14.1  	5   	PARCEL    	lure    	0.437	NR  	1   	NR      	NR      
6   	14.6  	6   	RUNG      	lure    	0.346	NR  	1   	NR      	NR      
7   	15    	7   	CHALK     	lure    	0.561	NR  	1   	NR      	NR      
8   	15.6  	8   	COMPASS   	lure    	0.64	NR  	1   	NR      	NR      
9   	16.3  	7   	CHALK (repeat 1)	lure    	0.663	NR  	1   	NR      	NR      
10  	17    	8   	COMPASS (repeat 1)	lure    	0.428	NR  	1   	NR      	NR      
11  	17.5  	9   	JOURNAL   	lure    	0.683	NR  	1   	NR      	NR      
12  	18.2  	10  	BRACELET  	lure    	0.468	NR  	1   	NR      	NR      
13  	18.8  	11  	METAL     	lure    	0.288	NR  	1   	NR      	NR      
14  	19.1  	12  	CINDER    	lure    	0.451	NR  	1   	NR      	NR      
15  	19.6  	13  	MANGO     	fruit   	0.95	0.743	1   	target  	target  
16  	20.6  	12  	CINDER (repeat 1)	lure    	0.627	NR  	1   	NR      	NR      
17  	21.3  	4   	EARTHQUAKE (repeat 1)	lure    	0.278	NR  	1   	NR      	NR      
18  	21.6  	10  	BRACELET (repeat 1)	lure    	0.264	NR  	1   	NR      	NR      
19  	22    	5   	PARCEL (repeat 1)	lure    	0.306	NR  	1   	NR      	NR      
20  	22.3  	2   	PURSE (repeat 1)	lure    	0.501	NR  	1   	NR      	NR      
21  	22.9  	5   	PARCEL (repeat 2)	lure    	0.364	NR  	1   	NR      	NR      
22  	23.3  	11  	METAL (repeat 1)	lure    	0.666	NR  	1   	NR      	NR      
23  	24    	1   	BASKET (repeat 1)	lure    	0.688	NR  	1   	NR      	NR      
24  	24.7  	9   	JOURNAL (repeat 1)	lure    	0.384	NR  	1   	NR      	NR      
25  	25.2  	3   	MAGNET (repeat 1)	lure    	0.275	NR  	1   	NR      	NR      
26  	25.5  	1   	BASKET (repeat 2)	lure    	0.392	NR  	1   	NR      	NR      
27  	25.9  	5   	PARCEL (repeat 3)	lure    	0.351	NR  	1   	NR      	NR      
28  	26.3  	14  	COLUMN    	lure    	0.332	NR  	1   	NR      	NR      
29  	26.7  	8   	COMPASS (repeat 2)	lure    	0.634	NR  	1   	NR      	NR      
30  	27.4  	14  	COLUMN (repeat 1)	lure    	0.528	NR  	1   	NR      	NR      
31  	28    	8   	COMPASS (repeat 3)	lure    	0.265	NR  	1   	NR      	NR      
32  	28.3  	9   	JOURNAL (repeat 2)	lure    	0.617	NR  	1   	NR      	NR      
33  	29    	3   	MAGNET (repeat 2)	lure    	0.584	NR  	1   	NR      	NR      
34  	29.6  	1   	BASKET (repeat 3)	lure    	0.685	NR  	1   	NR      	NR      
35  	30.4  	6   	RUNG (repeat 1)	lure    	0.397	NR  	1   	NR      	NR      
36  	30.8  	5   	PARCEL (repeat 4)	lure    	0.367	NR  	1   	NR      	NR      
37  	31.3  	7   	CHALK (repeat 2)	lure    	0.451	NR  	1   	NR      	NR      
38  	31.8  	15  	LEMON     	fruit   	0.95	0.592	1   	target  	target  
39  	32.8  	12  	CINDER (repeat 2)	lure    	0.487	NR  	1   	NR      	NR      
40  	33.4  	11  	METAL (repeat 2)	lure    	0.579	NR  	1   	NR      	NR      
41  	34    	16  	BATON     	lure    	0.314	NR  	1   	NR      	NR      
42  	34.4  	7   	CHALK (repeat 3)	lure    	0.591	NR  	1   	NR      	NR      
43  	35    	6   	RUNG (repeat 2)	lure    	0.679	NR  	1   	NR      	NR      
44  	35.7  	3   	MAGNET (repeat 3)	lure    	0.257	NR  	1   	NR      	NR      
45  	36.1  	16  	BATON (repeat 1)	lure    	0.303	NR  	1   	NR      	NR      
46  	36.4  	17  	TRACK     	lure    	0.671	NR  	1   	NR      	NR      
47  	37.2  	9   	JOURNAL (repeat 3)	lure    	0.528	NR  	1   	NR      	NR      
48  	37.8  	7   	CHALK (repeat 4)	lure    	0.489	NR  	1   	NR      	NR      
49  	38.3  	8   	COMPASS (repeat 4)	lure    	0.675	NR  	1   	NR      	NR      
