trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	38.1  	1   	9  +  5\n\n	---     	1.854	1.367	1   	even    	even    
2   	40.1  	2   	8  +  5\n\n	---     	1.856	0.668	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	80.1  	1   	8  +  8\n\n	---     	1.851	1.108	1   	even    	even    
2   	82.1  	2   	7  +  6\n\n	---     	1.853	1.178	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	122.1 	1   	8  +  8\n\n	---     	1.854	0.786	1   	even    	even    
2   	124.1 	2   	7  +  4\n\n	---     	1.853	1.136	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	164.1 	1   	5  +  7\n\n	---     	1.855	1.263	1   	even    	even    
2   	166.1 	2   	8  +  3\n\n	---     	1.855	0.629	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	206.1 	1   	2  +  9\n\n	---     	1.854	0.965	1   	odd     	odd     
2   	208.1 	2   	9  +  4\n\n	---     	1.854	1.123	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	313.1 	1   	4  +  9\n\n	---     	1.855	1.773	1   	odd     	odd     
2   	315.1 	2   	9  +  7\n\n	---     	1.852	0.868	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	355.1 	1   	8  +  4\n\n	---     	1.854	0.923	1   	even    	even    
2   	357.1 	2   	4  +  7\n\n	---     	1.851	0.721	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	397.1 	1   	8  +  9\n\n	---     	1.855	1.265	1   	odd     	odd     
2   	399.1 	2   	7  +  9\n\n	---     	1.855	1.023	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	439.1 	1   	7  +  7\n\n	---     	1.855	1.655	1   	even    	even    
