trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	11    	1   	ISLAND    	lure    	0.377	NR  	1   	NR      	NR      
2   	11.5  	2   	PUPPET    	lure    	0.486	NR  	1   	NR      	NR      
3   	12    	3   	CHISEL    	lure    	0.272	NR  	1   	NR      	NR      
4   	12.3  	4   	PUMP      	lure    	0.504	NR  	1   	NR      	NR      
5   	12.9  	5   	CAPSULE   	lure    	0.319	NR  	1   	NR      	NR      
6   	13.3  	1   	ISLAND (repeat 1)	lure    	0.336	NR  	1   	NR      	NR      
7   	13.7  	6   	ANCHOR    	lure    	0.274	NR  	1   	NR      	NR      
8   	14    	1   	ISLAND (repeat 2)	lure    	0.541	NR  	1   	NR      	NR      
9   	14.6  	3   	CHISEL (repeat 1)	lure    	0.611	NR  	1   	NR      	NR      
10  	15.3  	5   	CAPSULE (repeat 1)	lure    	0.43	NR  	1   	NR      	NR      
11  	15.8  	2   	PUPPET (repeat 1)	lure    	0.689	NR  	1   	NR      	NR      
12  	16.5  	7   	MAGNET    	lure    	0.569	NR  	1   	NR      	NR      
13  	17.2  	5   	CAPSULE (repeat 2)	lure    	0.44	NR  	1   	NR      	NR      
14  	17.7  	1   	ISLAND (repeat 3)	lure    	0.539	NR  	1   	NR      	NR      
15  	18.3  	5   	CAPSULE (repeat 3)	lure    	0.451	NR  	1   	NR      	NR      
16  	18.8  	3   	CHISEL (repeat 2)	lure    	0.494	NR  	1   	NR      	NR      
17  	19.3  	7   	MAGNET (repeat 1)	lure    	0.451	NR  	1   	NR      	NR      
18  	19.8  	8   	PLUM      	fruit   	0.954	0.654	1   	target  	target  
19  	20.8  	2   	PUPPET (repeat 2)	lure    	0.657	NR  	1   	NR      	NR      
20  	21.5  	1   	ISLAND (repeat 4)	lure    	0.434	NR  	1   	NR      	NR      
21  	22    	3   	CHISEL (repeat 3)	lure    	0.46	NR  	1   	NR      	NR      
22  	22.5  	1   	ISLAND (repeat 5)	lure    	0.641	NR  	1   	NR      	NR      
23  	23.2  	2   	PUPPET (repeat 3)	lure    	0.508	NR  	1   	NR      	NR      
24  	23.8  	3   	CHISEL (repeat 4)	lure    	0.356	NR  	1   	NR      	NR      
25  	24.2  	2   	PUPPET (repeat 4)	lure    	0.384	NR  	1   	NR      	NR      
26  	24.7  	5   	CAPSULE (repeat 4)	lure    	0.695	NR  	1   	NR      	NR      
27  	25.4  	4   	PUMP (repeat 1)	lure    	0.396	NR  	1   	NR      	NR      
28  	25.9  	3   	CHISEL (repeat 5)	lure    	0.359	0.048	0   	target  	NR      
29  	26.3  	2   	PUPPET (repeat 5)	lure    	0.609	NR  	1   	NR      	NR      
